term_original,best_domain
Acne,acne
breakout,acne
picking acne,acne
zits,acne
Cystic acne,acne
achy,acne
Acné,acne
acne inversa,acne
ACNES,acne
Baby acne,acne
acne breakout,acne
Hyperactivity,adhd
memory impairment,adhd
Cognitive impairment,adhd
ADHD-inattentive type,adhd
cognitive difficulties,adhd
Cognitive Dysfunction,adhd
Adult ADHD,adhd
ADHD,adhd
Adult ADD,adhd
inability to concentrate,adhd
functional memory disorder,adhd
attention deficit ,adhd
attention deficit disorder,adhd
difficulty concentrating,adhd
ADD,adhd
Attention Deficit Disorder (ADD-PI),adhd
addhd,adhd
adrenal gland insufficiency,adrenal
Adult Growth Hormone Deficiency,adrenal
adrenal gland failure,adrenal
Adrenal insuffiency,adrenal
hypopituitism,adrenal
adrenal pain,adrenal
adrenal insuffi,adrenal
Cushing’s Disease,adrenal
low cortisol,adrenal
Hirstuitism,adrenal
Cushing's Disease,adrenal
Panhypopituitarism,adrenal
Adrenal Insufficiency,adrenal
cushings syndrome,adrenal
High Cortisol levels,adrenal
Adrenal insufficiency (HCC),adrenal
adrenal fatigue,adrenal
hypocortisolism,adrenal
cushings disease,adrenal
Adrenal Fatigue Sundrome,adrenal
excess sweating,adrenal
Adrenal Suppression,adrenal
Benign adrenal tumors,adrenal
Addison’s Disease,adrenal
Adrenal Dysfunction ,adrenal
secondary adrenal insufficiency ,adrenal
Cushing syndrome,adrenal
Addison's disease,adrenal
Hypopituitarism,adrenal
Cushing's,adrenal
Cushings,adrenal
pituitary dysfunction,adrenal
Pituitary tumors,adrenal
Endocrine disorder,adrenal
High Cortisol,adrenal
Adrenal conditions,adrenal
addisons disease,adrenal
adrenal issues,adrenal
perfume allergy,allergy
progesterone allergy,allergy
mold illness,allergy
Wheat allergy,allergy
unknown allergy ,allergy
allergy eyedrops,allergy
Mold Poisoning,allergy
Pollen Allergy,allergy
allergies/salicylates,allergy
Egg allergy,allergy
Allergies,allergy
Contact allergies,allergy
Extreme allergies,allergy
Chronic Allergies,allergy
Peanut allergy,allergy
Soy allergy,allergy
Seasonal Allergies,allergy
Atopic Allergies,allergy
severe peanut/treenut allergy,allergy
allergy,allergy
Severe allergies,allergy
Cat allergy,allergy
seasonal allergy,allergy
tree nut allergy,allergy
Dust mite allergy,allergy
Penicillin allergy,allergy
Augmentin allergy,allergy
puffy face / allergies,allergy
Pet allergy,allergy
Mold allergy,allergy
Oral allergy syndrom,allergy
indoor allergies,allergy
toxic mold exposure,allergy
eye allergies,allergy
allergy ent,allergy
Sulfa Allergy,allergy
Drug allergy,allergy
Latex allergy,allergy
environmental allergies ,allergy
cephalosporin allergy,allergy
morning allergies,allergy
allergy dermatitis,allergy
Anxiety and Depression,anxiety
Agoraphobia,anxiety
social anxiety,anxiety
emetophobia,anxiety
abandonment fear,anxiety
Severe anxiety,anxiety
Generalised Anxiety Disorder,anxiety
fear of sex,anxiety
panic attack,anxiety
seperation anxiety,anxiety
chronic panic attacks ,anxiety
Panic,anxiety
Health anxiety,anxiety
anxiety disorder,anxiety
mixed anxiety,anxiety
Anxiety Disorders,anxiety
Separation anxiety disorder,anxiety
Chronic anxiety,anxiety
Emetaphobia,anxiety
Fears,anxiety
morning anxiety,anxiety
anxiety/stress,anxiety
Anxiety & Stuck - Can’t Prioritize,anxiety
Anxiety w/Panic,anxiety
Antisocial Withdrawl (Fear),anxiety
anxiety (youper),anxiety
Separation anxiety,anxiety
compulsive worrying,anxiety
situational anxiety,anxiety
photophobia,anxiety
Generalised Anxiety Disorder (GAD),anxiety
fear of water,anxiety
Panic disorder,anxiety
Avoidant Personality Disorder,anxiety
feeling of fear,anxiety
post-panic attack depression,anxiety
worry,anxiety
generalised anxiety ,anxiety
Atelophobia,anxiety
anxious,anxiety
social phobia ,anxiety
Social anxiety disorder,anxiety
Worried,anxiety
Panic attacks,anxiety
general anxiety disorder,anxiety
fear,anxiety
anxiety/panic,anxiety
anxiety & depression ,anxiety
atypical panic attacks,anxiety
fear of death of others,anxiety
Anxiety attacks,anxiety
Anxiety,anxiety
Anxious Buying,anxiety
Generalized Anxiety,anxiety
feeling uneasy,anxiety
Phobias,anxiety
pseudo panic attack,anxiety
nervousness,anxiety
anxiousness,anxiety
Generalized anxiety disorder,anxiety
Nervous,anxiety
Autism spectrum disorder,asd
central sensitisation disorder,asd
asmatha,asd
sensory integration disorder,asd
Depersonalization-derealization disorder,asd
selective mutism,asd
astma,asd
spd,asd
learning disabilities,asd
ASD,asd
Auditory Processing Disorder,asd
Central Auditory Processing Disorder,asd
Deaf,asd
aspergers,asd
Sensory Processing Disorder,asd
Aspergers Syndrome,asd
Autism,asd
Astigmatism,asd
autism crisis,asd
Asthma attack,asthma
Non-Allergic Rhinitis,asthma
Asthmatic,asthma
Accute Asthma,asthma
Brittle asthma,asthma
Childhood asthma,asthma
Reactive Airways disease ,asthma
needed breathing treatment,asthma
Reactive Airway Syndrome,asthma
Breathing Problem. ,asthma
breathing difficulty,asthma
Reactive Airway Disease,asthma
Asthma,asthma
Cough Variant Asthma,asthma
Moderate asthma with exacerbation,asthma
severe asthma,asthma
Chronic Asthma,asthma
Breathing trouble,asthma
Eosinophilic Asthma,asthma
Allergy-Induced Asthma,asthma
pre menopausal asthma,asthma
respiratory inflammation,asthma
chronic rhinitis,asthma
Exercise-induced asthma,asthma
Chronic allergic rhinitis,asthma
reactive airway disorder,asthma
Allergic Rhinitis,asthma
Breathing difficulties,asthma
obesity related brittle asthma,asthma
Cough/asthma,asthma
Exercise Induced Anaphylaxis,asthma
breathing,asthma
non allergic chronic rhinitus,asthma
Eosinophilic bronchitis,asthma
behcets syndrome,autoimmune_connective
Behcets disease,autoimmune_connective
Autoimmune (undefined),autoimmune_connective
Discogenic Disease,autoimmune_connective
chron's disease,autoimmune_connective
chrohn's disease,autoimmune_connective
autoimmune flare,autoimmune_connective
NonSpecific AutoImmune Disease,autoimmune_connective
autoimmune l,autoimmune_connective
systemic autoinflammatory dusorder,autoimmune_connective
autoimmune encephalitis,autoimmune_connective
Unspecified Myopathy,autoimmune_connective
autoimmun diseases,autoimmune_connective
lymphadenopathy right armpit,autoimmune_connective
Autoimmune pancreatitis,autoimmune_connective
Pompe Disease,autoimmune_connective
sytemic lupus erythematosus,autoimmune_connective
Autoimmune Disease Unknown,autoimmune_connective
Behcet's disease,autoimmune_connective
clinicaly isolated syndrome,autoimmune_connective
Autoimmune Inner Ear Disease,autoimmune_connective
"Hand, Foot, and Mouth Disease",autoimmune_connective
Undifferentiated Connective Tissue Disease,autoimmune_connective
TLE tumid lupus erythematosis,autoimmune_connective
gad65 autoimmune disease ,autoimmune_connective
Eosinophilic Duodentitis,autoimmune_connective
lupus anticoagulant ,autoimmune_connective
