term_original,best_domain
Concentration/Focus,adhd_attention
concentration (tasks),adhd_attention
concentration (tv etc),adhd_attention
Hyperactivity,adhd_attention
Weak Executive Function,adhd_attention
Self-distraction,adhd_attention
ADHD,adhd_attention
Inattention,adhd_attention
non functioning ,adhd_attention
hyper talking,adhd_attention
overactivity,adhd_attention
Single focus of attention,adhd_attention
distracted/lack of focus,adhd_attention
talking hyperactivity random things incessant,adhd_attention
Concentration,adhd_attention
level of activity ,adhd_attention
general functioning,adhd_attention
Executive function issues,adhd_attention
fluctuating levels of concentration and attention,adhd_attention
Avoidance of Main Task,adhd_attention
Proactive,adhd_attention
Mentally Productive,adhd_attention
concentration low,adhd_attention
mental hyperactivity,adhd_attention
Executive dysfunction,adhd_attention
activity,adhd_attention
hyperactive,adhd_attention
lack of concentration and focus,adhd_attention
Diffifulty Concentrating,adhd_attention
Poor Spacial Awareness,adhd_attention
impaired executive function,adhd_attention
Lack of Mental Acuity,adhd_attention
Trouble holding focus/attention on task,adhd_attention
ability to perform extra tasks,adhd_attention
distraction,adhd_attention
poor focus,adhd_attention
lack of focus,adhd_attention
low concentration,adhd_attention
SOB with activity,adhd_attention
poor productivity,adhd_attention
Mentally active,adhd_attention
Lack focus,adhd_attention
Inability to focus,adhd_attention
Inattentive,adhd_attention
Poor concentration,adhd_attention
Focus/Concentration,adhd_attention
Struggle to focus,adhd_attention
Lack of concentration,adhd_attention
inability to focus on work,adhd_attention
Inattentative,adhd_attention
Activity Level,adhd_attention
eyelid infection,allergy_hypersensitivity
swelling around eyes ,allergy_hypersensitivity
General allergy ,allergy_hypersensitivity
food allergy ,allergy_hypersensitivity
allergy elbow ,allergy_hypersensitivity
Eyelid Itchiness and Red,allergy_hypersensitivity
allergies cutanées,allergy_hypersensitivity
Allergic Reaction (Epi-Pen Needed),allergy_hypersensitivity
Allergic Reaction (Severe) ,allergy_hypersensitivity
Eyes Dry/Sore/Red,allergy_hypersensitivity
Allergies,allergy_hypersensitivity
dry painful eyes,allergy_hypersensitivity
Enviromental allergies,allergy_hypersensitivity
right eye dryness and irritation ,allergy_hypersensitivity
itchy eyes and ears,allergy_hypersensitivity
eyes/nose only itching,allergy_hypersensitivity
red itchy eyes,allergy_hypersensitivity
rash under eyes,allergy_hypersensitivity
Pollen allergy,allergy_hypersensitivity
Eye Itchiness,allergy_hypersensitivity
general allergies,allergy_hypersensitivity
"slight itch left thumb, right eye lid",allergy_hypersensitivity
Eyes--Itching,allergy_hypersensitivity
dry eyes and dry mouth,allergy_hypersensitivity
Allergy,allergy_hypersensitivity
