term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
Anxiety - Worry,anxiety - worry,anxiety,0.8343494,0.50290954,0.33143985,-1,0.0,noise
Anxiety w/Panic,anxiety w/panic,anxiety,0.8274903,0.5103767,0.31711364,-1,0.0,noise
anxiety/panic,anxiety/panic,anxiety,0.8423947,0.5328596,0.3095351,-1,0.0,noise
Social Anxiety: Panic ,social anxiety: panic,anxiety,0.7075418,0.4081164,0.29942542,-1,0.0,noise
Anxiety,anxiety,anxiety,0.8875215,0.5907568,0.29676473,-1,0.0,noise
regular anxiety ,regular anxiety,anxiety,0.7210878,0.4542915,0.26679632,-1,0.0,noise
Anxiety attack,anxiety attack,anxiety,0.7369106,0.47094238,0.2659682,-1,0.0,noise
Health Anxiety,health anxiety,anxiety,0.7034524,0.4419878,0.2614646,-1,0.0,noise
Panic,panic,anxiety,0.79655856,0.53635263,0.26020592,-1,0.0,noise
Anxiety/fear,anxiety/fear,anxiety,0.838935,0.57993793,0.25899708,-1,0.0,noise
physical anxiety,physical anxiety,anxiety,0.72251254,0.4647814,0.25773114,-1,0.0,noise
chronic anxiety,chronic anxiety,anxiety,0.7103585,0.4581319,0.2522266,-1,0.0,noise
Social anxiety,social anxiety,anxiety,0.7014384,0.45087212,0.2505663,-1,0.0,noise
Extreme Anxiety,extreme anxiety,anxiety,0.7542037,0.50674874,0.24745494,-1,0.0,noise
Specific Anxiety,specific anxiety,anxiety,0.76855373,0.5214543,0.24709946,-1,0.0,noise
anxiety disorder,anxiety disorder,anxiety,0.7354827,0.49025345,0.24522924,-1,0.0,noise
Severe anxiety,severe anxiety,anxiety,0.7550832,0.5118922,0.243191,-1,0.0,noise
general anxiety,general anxiety,anxiety,0.76385295,0.5208286,0.24302435,-1,0.0,noise
Anxiety (Social),anxiety (social,anxiety,0.7198354,0.47685924,0.24297616,-1,0.0,noise
Panic Panic,panic panic,anxiety,0.747697,0.50593686,0.24176013,-1,0.0,noise
nervous anxious,nervous anxious,anxiety,0.78086555,0.5391559,0.24170965,-1,0.0,noise
fear/anxiety,fear/anxiety,anxiety,0.8280955,0.5872568,0.2408387,-1,0.0,noise
