term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
alcohol - wine,alcohol - wine,food_alcohol,0.8514037,0.5359957,0.315408,-1,0.0,noise
wine,wine,food_alcohol,0.86329275,0.5563226,0.30697018,-1,0.0,noise
two glasses of white wine,two glasses of white wine,food_alcohol,0.6561476,0.3558808,0.3002668,-1,0.0,noise
alcohol 1 sml white wine,alcohol 1 sml white wine,food_alcohol,0.70947814,0.41717166,0.29230648,-1,0.0,noise
wine and. whiskey,wine and. whiskey,food_alcohol,0.7574934,0.46603942,0.29145396,-1,0.0,noise
1 glass white wine ,1 glass white wine,food_alcohol,0.6469582,0.36119714,0.28576103,-1,0.0,noise
white wine,white wine,food_alcohol,0.78783184,0.5098205,0.27801132,-1,0.0,noise
glass of white wine,glass of white wine,food_alcohol,0.6995746,0.42160308,0.2779715,-1,0.0,noise
2 glasses white wine ,2 glasses white wine,food_alcohol,0.668818,0.39349452,0.27532348,-1,0.0,noise
wine 1 glass,wine 1 glass,food_alcohol,0.6396965,0.37120348,0.268493,-1,0.0,noise
Glass of wine,glass of wine,food_alcohol,0.7320416,0.4638331,0.2682085,-1,0.0,noise
1 glass of wine,1 glass of wine,food_alcohol,0.6623678,0.3941794,0.26818842,-1,0.0,noise
2 glasses of wine,2 glasses of wine,food_alcohol,0.66049445,0.392689,0.26780546,-1,0.0,noise
2 glasses wine,2 glasses wine,food_alcohol,0.66852266,0.40180343,0.26671922,-1,0.0,noise
2 hlasses red wine,2 hlasses red wine,food_alcohol,0.6056409,0.33902138,0.2666195,-1,0.0,noise
wine 2 medium ,wine 2 medium,food_alcohol,0.63831246,0.37323827,0.2650742,-1,0.0,noise
small glass of wine,small glass of wine,food_alcohol,0.6414319,0.383034,0.25839794,-1,0.0,noise
new wine,new wine,food_alcohol,0.70559883,0.4494046,0.25619423,-1,0.0,noise
Large white wine,large white wine,food_alcohol,0.65154684,0.39560127,0.25594556,-1,0.0,noise
half a glass of wine,half a glass of wine,food_alcohol,0.6433267,0.38877615,0.25455055,-1,0.0,noise
2 red wines,2 red wines,food_alcohol,0.6419847,0.39207056,0.24991414,-1,0.0,noise
1 glass red wine,1 glass red wine,food_alcohol,0.62362903,0.3743345,0.24929452,-1,0.0,noise
Lots of wine,lots of wine,food_alcohol,0.68831575,0.43924156,0.24907419,-1,0.0,noise
Alcohol free beer,alcohol free beer,food_alcohol,0.65134025,0.40413225,0.247208,-1,0.0,noise
"Alcoholic beverage, wine, light","alcoholic beverage, wine, light",food_alcohol,0.73433954,0.48756343,0.2467761,-1,0.0,noise
small white wine ,small white wine,food_alcohol,0.666867,0.42047483,0.24639219,-1,0.0,noise
1 glass white wine at 10,1 glass white wine at 10,food_alcohol,0.5968079,0.3508172,0.2459907,-1,0.0,noise
alcohol,alcohol,food_alcohol,0.8722795,0.62644416,0.24583536,-1,0.0,noise
glass red wine,glass red wine,food_alcohol,0.7073159,0.46167228,0.24564365,-1,0.0,noise
some wine,some wine,food_alcohol,0.7926041,0.5475439,0.2450602,-1,0.0,noise
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon","alcoholic beverage, wine, table, red, cabernet sauvignon",food_alcohol,0.6245384,0.3802044,0.24433401,-1,0.0,noise
2 glasses of red wine,2 glasses of red wine,food_alcohol,0.64438677,0.40164983,0.24273694,-1,0.0,noise
red wine,red wine,food_alcohol,0.7867472,0.54501486,0.24173236,-1,0.0,noise
6oz white wine,6oz white wine,food_alcohol,0.6758752,0.43455803,0.24131715,-1,0.0,noise
2 glasses red wine,2 glasses red wine,food_alcohol,0.64657295,0.40566427,0.24090868,-1,0.0,noise
"Alcoholic beverage, wine, cooking","alcoholic beverage, wine, cooking",food_alcohol,0.7377957,0.497047,0.2407487,-1,0.0,noise
liquor,liquor,food_alcohol,0.85083187,0.61022127,0.2406106,-1,0.0,noise
wine last night,wine last night,food_alcohol,0.6791011,0.43851268,0.24058843,-1,0.0,noise
alcohol-free beer,alcohol-free beer,food_alcohol,0.69863975,0.45957834,0.23906142,-1,0.0,noise
half glass of red wine,half glass of red wine,food_alcohol,0.6536442,0.41658863,0.23705557,-1,0.0,noise
cocktails—vodka,cocktails—vodka,food_alcohol,0.7053895,0.4685864,0.23680311,-1,0.0,noise
white wine non a,white wine non a,food_alcohol,0.6935587,0.4567834,0.23677528,-1,0.0,noise
glass of red wine,glass of red wine,food_alcohol,0.68561894,0.45049727,0.23512167,-1,0.0,noise
no wine,no wine,food_alcohol,0.6833856,0.44937003,0.23401558,-1,0.0,noise
margarita wine,margarita wine,food_alcohol,0.74834013,0.51482934,0.23351079,-1,0.0,noise
some red wine,some red wine,food_alcohol,0.76953405,0.5364876,0.23304647,-1,0.0,noise
mulled wine,mulled wine,food_alcohol,0.6830789,0.45086288,0.232216,-1,0.0,noise
bottle of red wine,bottle of red wine,food_alcohol,0.7031194,0.47296938,0.23015001,-1,0.0,noise
Beers,beers,food_alcohol,0.76732063,0.53823245,0.22908819,-1,0.0,noise
1 glss of wine,1 glss of wine,food_alcohol,0.5396962,0.31267646,0.22701976,-1,0.0,noise
Extra alcohol ,extra alcohol,food_alcohol,0.71840876,0.4926983,0.22571045,-1,0.0,noise
glass rose wine,glass rose wine,food_alcohol,0.6282964,0.40309182,0.22520456,-1,0.0,noise
