term_original,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
fragrance,allergens_irritants,0.72825277,0.37427258,0.35398018,-1,0.0,noise
pollen,allergens_irritants,0.74527746,0.4220103,0.32326716,-1,0.0,noise
exposure to scents,allergens_irritants,0.574871,0.25438982,0.32048118,-1,0.0,noise
scent exposure,allergens_irritants,0.59714067,0.28900415,0.30813652,-1,0.0,noise
grass pollen,allergens_irritants,0.5592145,0.25879002,0.30042446,-1,0.0,noise
ragweed pollen,allergens_irritants,0.5603127,0.26245403,0.29785866,-1,0.0,noise
pollution,allergens_irritants,0.65331054,0.35620806,0.29710248,-1,0.0,noise
fragrance sensitivity,allergens_irritants,0.51684093,0.22233403,0.2945069,-1,0.0,noise
fragrance reaction,allergens_irritants,0.59172475,0.3055188,0.28620595,-1,0.0,noise
perfume exposure,allergens_irritants,0.5544319,0.2699377,0.28449422,-1,0.0,noise
exposed to scent,allergens_irritants,0.6161768,0.34072492,0.27545187,-1,0.0,noise
Exposed to perfumes,allergens_irritants,0.5629563,0.28951174,0.27344453,-1,0.0,noise
Perfume reaction,allergens_irritants,0.5760243,0.30270237,0.27332193,-1,0.0,noise
perfume,allergens_irritants,0.7255264,0.45472527,0.27080113,-1,0.0,noise
chemical scent exposure,allergens_irritants,0.5273142,0.25652114,0.27079305,-1,0.0,noise
high pollen,allergens_irritants,0.6365253,0.37643248,0.2600928,-1,0.0,noise
exposed to chemical scents,allergens_irritants,0.5435734,0.28388265,0.25969073,-1,0.0,noise
high tree pollen,allergens_irritants,0.5124574,0.2596805,0.25277686,-1,0.0,noise
scent triggers,allergens_irritants,0.5273813,0.2917178,0.2356635,-1,0.0,noise
pollen high,allergens_irritants,0.6139617,0.38082016,0.23314154,-1,0.0,noise
"gas, sun, noisy, scents, smoke",allergens_irritants,0.63169336,0.39939448,0.23229888,-1,0.0,noise
exposure to scented items,allergens_irritants,0.45834523,0.23307788,0.22526735,-1,0.0,noise
gasoline smell,allergens_irritants,0.52825034,0.30351657,0.22473377,-1,0.0,noise
scented products,allergens_irritants,0.5342954,0.31733066,0.21696472,-1,0.0,noise
extreme scent in borrowed car,allergens_irritants,0.46866795,0.2535258,0.21514216,-1,0.0,noise
scentsy,allergens_irritants,0.6125057,0.4023742,0.21013147,-1,0.0,noise
smells,allergens_irritants,0.72077847,0.51173234,0.20904613,-1,0.0,noise
Very high pollen,allergens_irritants,0.56997085,0.36280933,0.20716152,-1,0.0,noise
scent trigger,allergens_irritants,0.53916633,0.3368847,0.20228162,-1,0.0,noise
pollen allergy,allergens_irritants,0.5516834,0.35010824,0.20157519,-1,0.0,noise
high pollen count,allergens_irritants,0.4722979,0.2729146,0.19938332,-1,0.0,noise
Pollution - 3,allergens_irritants,0.5829928,0.38375032,0.19924247,-1,0.0,noise
bark dust,allergens_irritants,0.5743625,0.37572628,0.19863623,-1,0.0,noise
scent expos,allergens_irritants,0.5435207,0.3455017,0.198019,-1,0.0,noise
horrible scent w electricAl fire,allergens_irritants,0.4916142,0.2947507,0.1968635,-1,0.0,noise
perfume in house,allergens_irritants,0.555617,0.36256495,0.19305202,-1,0.0,noise
Moderate pollen,allergens_irritants,0.5119848,0.32175648,0.19022834,-1,0.0,noise
dust,allergens_irritants,0.72148573,0.5314663,0.19001943,-1,0.0,noise
Pollen - low,allergens_irritants,0.5973481,0.40916002,0.18818808,-1,0.0,noise
asthma from dust,allergens_irritants,0.5155269,0.3317645,0.1837624,-1,0.0,noise
scent ecpos,allergens_irritants,0.4618839,0.27903956,0.18284434,-1,0.0,noise
smelling cotton candy,allergens_irritants,0.55051446,0.36768287,0.18283159,-1,0.0,noise
polluted air,allergens_irritants,0.55517495,0.3741398,0.18103516,-1,0.0,noise
Secondhand smoke,allergens_irritants,0.510511,0.33063206,0.17987892,-1,0.0,noise
moderate pollution,allergens_irritants,0.47340965,0.30093917,0.17247048,-1,0.0,noise
