term_original,term_norm,best_domain,top_score,second_score,margin,cluster_id,cluster_confidence,cluster_label
Hemp CBD,hemp cbd,treatment_alternative_complementary,0.65008736,0.3260393,0.32404804,-1,0.0,noise
Medical Cannabis,medical cannabis,treatment_alternative_complementary,0.77849984,0.47279018,0.30570966,-1,0.0,noise
Cannabis CBD oil,cannabis cbd oil,treatment_alternative_complementary,0.6841397,0.38404977,0.30008996,-1,0.0,noise
THC/CBD Cannabis,thc/cbd cannabis,treatment_alternative_complementary,0.6750036,0.3836991,0.2913045,-1,0.0,noise
CBD from Hemp,cbd from hemp,treatment_alternative_complementary,0.5975063,0.31266865,0.28483763,-1,0.0,noise
Medical Marijuana,medical marijuana,treatment_alternative_complementary,0.74203247,0.47115612,0.27087635,-1,0.0,noise
CBD,cbd,treatment_alternative_complementary,0.6986201,0.42785704,0.27076304,-1,0.0,noise
CBD without THC,cbd without thc,treatment_alternative_complementary,0.5743842,0.31553262,0.2588516,-1,0.0,noise
cbd vape,cbd vape,treatment_alternative_complementary,0.5910915,0.35035852,0.240733,-1,0.0,noise
Marijuana,marijuana,treatment_alternative_complementary,0.7868459,0.54884696,0.23799896,-1,0.0,noise
CBD/THC,cbd/thc,treatment_alternative_complementary,0.6486795,0.41102028,0.23765922,-1,0.0,noise
CBD:THC,cbd:thc,treatment_alternative_complementary,0.63672346,0.40226835,0.23445511,-1,0.0,noise
Medicinal cannabis,medicinal cannabis,treatment_alternative_complementary,0.725211,0.49386665,0.23134437,-1,0.0,noise
No THC CBD,no thc cbd,treatment_alternative_complementary,0.5911115,0.36110282,0.23000866,-1,0.0,noise
Cbd oil,cbd oil,treatment_alternative_complementary,0.63681734,0.41276324,0.2240541,-1,0.0,noise
cbd topical,cbd topical,treatment_alternative_complementary,0.6364,0.4125469,0.22385308,-1,0.0,noise
Cannabis,cannabis,treatment_alternative_complementary,0.8064121,0.5848439,0.22156823,-1,0.0,noise
cbd spray,cbd spray,treatment_alternative_complementary,0.606774,0.3908112,0.21596277,-1,0.0,noise
cbd thc tincture,cbd thc tincture,treatment_alternative_complementary,0.5392276,0.32532644,0.21390116,-1,0.0,noise
cbd tincture,cbd tincture,treatment_alternative_complementary,0.55485666,0.3436646,0.21119207,-1,0.0,noise
Cannabis THC oil,cannabis thc oil,treatment_alternative_complementary,0.66324425,0.4520594,0.21118486,-1,0.0,noise
Rolled Cannabis,rolled cannabis,treatment_alternative_complementary,0.6016082,0.39263356,0.20897466,-1,0.0,noise
CBD/THC 1:1 oul,cbd/thc 1:1 oul,treatment_alternative_complementary,0.55722654,0.35297656,0.20424998,-1,0.0,noise
cbd joint,cbd joint,treatment_alternative_complementary,0.48505443,0.28205502,0.20299941,-1,0.0,noise
Cannabis oil,cannabis oil,treatment_alternative_complementary,0.7573908,0.55549526,0.20189553,-1,0.0,noise
Puff w/ CBD,puff w/ cbd,treatment_alternative_complementary,0.61848974,0.4186138,0.19987595,-1,0.0,noise
"Marijuana, concentrate ","marijuana, concentrate",treatment_alternative_complementary,0.6558057,0.4585722,0.1972335,-1,0.0,noise
Hemp Oil,hemp oil,treatment_alternative_complementary,0.6222238,0.42532367,0.19690013,-1,0.0,noise
CBD isolate,cbd isolate,treatment_alternative_complementary,0.4792912,0.28405324,0.19523796,-1,0.0,noise
cannabis oil vape,cannabis oil vape,treatment_alternative_complementary,0.59854287,0.40412897,0.1944139,-1,0.0,noise
marijuana oil,marijuana oil,treatment_alternative_complementary,0.73510873,0.5411575,0.19395125,-1,0.0,noise
cw cbd oil,cw cbd oil,treatment_alternative_complementary,0.5655933,0.37267447,0.19291884,-1,0.0,noise
19:1 THC:CBD vape pen,19:1 thc:cbd vape pen,treatment_alternative_complementary,0.48639873,0.2949657,0.19143301,-1,0.0,noise
Cannabis CBD capsule 10mg,cannabis cbd capsule 10mg,treatment_alternative_complementary,0.57379043,0.38348466,0.19030577,-1,0.0,noise
CBD with MCT,cbd with mct,treatment_alternative_complementary,0.45142317,0.26546246,0.18596071,-1,0.0,noise
1:1 cbd & thc oil,1:1 cbd & thc oil,treatment_alternative_complementary,0.47848672,0.29515016,0.18333656,-1,0.0,noise
cbd drops,cbd drops,treatment_alternative_complementary,0.5073354,0.32486218,0.18247324,-1,0.0,noise
cannabis tea,cannabis tea,treatment_alternative_complementary,0.70335805,0.5217297,0.18162835,-1,0.0,noise
Cannabis Concentrate Dab,cannabis concentrate dab,treatment_alternative_complementary,0.58652896,0.4050465,0.18148246,-1,0.0,noise
cannabis 1:1,cannabis 1:1,treatment_alternative_complementary,0.5794003,0.40054223,0.17885807,-1,0.0,noise
Extra cannabis,extra cannabis,treatment_alternative_complementary,0.64552355,0.46786243,0.17766112,-1,0.0,noise
CBD Spray- 'Free',cbd spray- 'free,treatment_alternative_complementary,0.54222935,0.36485675,0.1773726,-1,0.0,noise
edible cannabis,edible cannabis,treatment_alternative_complementary,0.67845213,0.5036235,0.17482865,-1,0.0,noise
cannabis vaped,cannabis vaped,treatment_alternative_complementary,0.62003106,0.4456582,0.17437285,-1,0.0,noise
cannabinoid,cannabinoid,treatment_alternative_complementary,0.58891463,0.418684,0.17023063,-1,0.0,noise
CBD edible,cbd edible,treatment_alternative_complementary,0.59120417,0.4218256,0.16937858,-1,0.0,noise
Half and Half Cannabis,half and half cannabis,treatment_alternative_complementary,0.57287043,0.4057851,0.16708532,-1,0.0,noise
CBD Lotion,cbd lotion,treatment_alternative_complementary,0.5981761,0.43319017,0.16498595,-1,0.0,noise
THC/CBD capsule,thc/cbd capsule,treatment_alternative_complementary,0.57916856,0.41581923,0.16334933,-1,0.0,noise
CBD oil pill ,cbd oil pill,treatment_alternative_complementary,0.55846167,0.3968043,0.16165736,-1,0.0,noise
CBD oil rub,cbd oil rub,treatment_alternative_complementary,0.5204728,0.3593012,0.16117162,-1,0.0,noise
cB,cb,treatment_alternative_complementary,0.56958985,0.40944552,0.16014433,-1,0.0,noise
cbd gummy ,cbd gummy,treatment_alternative_complementary,0.60431796,0.44446173,0.15985623,-1,0.0,noise
cbd balm,cbd balm,treatment_alternative_complementary,0.5355158,0.37583685,0.15967894,-1,0.0,noise
CBD Gel,cbd gel,treatment_alternative_complementary,0.6202136,0.46061096,0.15960267,-1,0.0,noise
CBD cream,cbd cream,treatment_alternative_complementary,0.6357566,0.47794175,0.15781486,-1,0.0,noise
Hemp Tea,hemp tea,treatment_alternative_complementary,0.5823645,0.42632192,0.15604258,-1,0.0,noise
Cannabis Edible,cannabis edible,treatment_alternative_complementary,0.6576597,0.50242627,0.15523344,-1,0.0,noise
cbd edibles,cbd edibles,treatment_alternative_complementary,0.5629215,0.40809909,0.15482244,-1,0.0,noise
"CBD- ""Free"" Spray","cbd- ""free"" spray",treatment_alternative_complementary,0.51412004,0.35958952,0.15453053,-1,0.0,noise
cbd oil capsule,cbd oil capsule,treatment_alternative_complementary,0.5797226,0.4271227,0.15259987,-1,0.0,noise
CBD PM,cbd pm,treatment_alternative_complementary,0.55085874,0.40009505,0.15076369,-1,0.0,noise
Canadian hemp,canadian hemp,treatment_alternative_complementary,0.5494275,0.39907074,0.15035677,-1,0.0,noise
natures aid cbd oil 2.5%,natures aid cbd oil 2.5,treatment_alternative_complementary,0.4854526,0.33538112,0.15007147,-1,0.0,noise
cannabis capsules,cannabis capsules,treatment_alternative_complementary,0.64760685,0.49914038,0.14846647,-1,0.0,noise
CBT,cbt,treatment_alternative_complementary,0.50121284,0.35312468,0.14808816,-1,0.0,noise
19:1 CBD:THC capsule,19:1 cbd:thc capsule,treatment_alternative_complementary,0.5288076,0.381527,0.14728057,-1,0.0,noise
CBD Capsule,cbd capsule,treatment_alternative_complementary,0.6328602,0.48595846,0.14690173,-1,0.0,noise
weed,weed,treatment_alternative_complementary,0.7335696,0.5867455,0.14682412,-1,0.0,noise
CBD Gummies,cbd gummies,treatment_alternative_complementary,0.58844143,0.44210353,0.1463379,-1,0.0,noise
chi gong,chi gong,treatment_alternative_complementary,0.47917122,0.3343312,0.14484,-1,0.0,noise
haleighs hope cbd oil,haleighs hope cbd oil,treatment_alternative_complementary,0.46537256,0.32217538,0.14319718,-1,0.0,noise
Cannabis Flower Bowl,cannabis flower bowl,treatment_alternative_complementary,0.57378054,0.43231088,0.14146966,-1,0.0,noise
CBD bb Classic,cbd bb classic,treatment_alternative_complementary,0.4663539,0.32506248,0.14129141,-1,0.0,noise
pure kana cbd oil,pure kana cbd oil,treatment_alternative_complementary,0.49615157,0.364047,0.13210458,-1,0.0,noise
hemp seed oil,hemp seed oil,treatment_alternative_complementary,0.5314671,0.40600392,0.12546316,-1,0.0,noise
CBD Oil Capsules,cbd oil capsules,treatment_alternative_complementary,0.54073703,0.4164955,0.12424153,-1,0.0,noise
Cbd olie,cbd olie,treatment_alternative_complementary,0.52596915,0.40929526,0.11667389,-1,0.0,noise
Cbd tea (20mg),cbd tea (20mg,treatment_alternative_complementary,0.562382,0.447513,0.11486897,-1,0.0,noise
